Observation ID,Observation Date,Platform,Observation Start Time,Observation End Time,Observation Start Time Accuracy,Observation Start Time Precision,Observation End Time Accuracy,Observation End Time Precision,Initial Activity,Initial Activity Certainty,Initial Distance,Primary Departure Reason,Secondary Departure Reason,Beaufort,Waypoint,Swell Ind,Substrate,Substrate Notes,Condition Notes,Transect Name,Transect Notes,General Notes,Camera ID,Camera Detail,First Frame,Last Frame
19,1985-05-23,OTHER,14:18:00,14:23:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
20,1985-05-23,OTHER,15:01:00,15:06:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
21,1985-05-24,OTHER,08:15:00,08:20:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
22,1985-05-24,OTHER,11:00:00,11:05:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
23,1985-05-29,OTHER,14:33:00,14:38:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
24,1985-05-29,OTHER,15:42:00,15:47:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
25,1985-06-06,OTHER,10:48:00,10:53:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
26,1985-06-06,OTHER,12:01:00,12:06:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
27,1985-06-06,OTHER,12:31:00,12:36:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
28,1985-06-06,OTHER,13:18:00,13:23:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
29,1985-06-06,OTHER,13:46:00,13:51:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
30,1985-06-06,OTHER,17:01:00,17:06:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
31,1985-06-11,OTHER,14:26:00,14:31:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
32,1985-06-11,OTHER,15:08:00,15:13:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
33,1985-06-11,OTHER,15:19:00,15:24:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
34,1985-06-11,OTHER,16:14:00,16:19:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
35,1985-06-12,OTHER,09:30:00,09:35:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
36,1985-06-12,OTHER,10:30:00,10:35:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
37,1985-06-13,OTHER,15:20:00,15:25:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
38,1985-06-14,OTHER,12:37:00,12:42:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
39,1985-06-14,OTHER,17:30:00,17:35:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
40,1985-06-15,OTHER,14:13:00,14:18:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
41,1985-06-16,OTHER,09:11:00,09:16:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
42,1985-06-18,OTHER,13:35:00,13:40:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
43,1985-06-19,OTHER,15:37:00,15:42:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
44,1985-06-19,OTHER,16:37:00,16:42:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
45,1985-06-20,OTHER,13:07:00,13:12:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
46,1985-06-20,OTHER,15:51:00,15:56:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
47,1985-06-21,OTHER,11:10:00,11:15:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
48,1985-06-21,OTHER,12:44:00,12:49:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
49,1985-06-21,OTHER,13:23:00,13:28:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
50,1985-06-22,OTHER,11:15:00,11:20:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
51,1985-06-22,OTHER,14:08:00,14:13:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
52,1985-06-22,OTHER,14:30:00,14:35:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
53,1985-06-22,OTHER,14:40:00,14:45:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
54,1985-06-22,OTHER,15:54:00,15:59:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
55,1985-06-23,OTHER,17:01:00,17:06:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
56,1985-06-24,OTHER,15:10:00,15:15:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
57,1985-06-24,OTHER,15:20:00,15:25:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
58,1985-06-25,OTHER,09:42:00,09:47:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
59,1985-06-25,OTHER,12:15:00,12:20:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
60,1985-06-25,OTHER,12:48:00,12:53:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
61,1985-06-25,OTHER,14:20:00,14:25:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
62,1985-06-25,OTHER,14:25:00,14:30:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
63,1985-06-26,OTHER,11:25:00,11:30:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
64,1985-06-26,OTHER,11:27:00,11:32:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
65,1985-06-26,OTHER,11:32:00,11:37:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
66,1985-06-26,OTHER,13:46:00,13:51:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
67,1985-06-27,OTHER,11:18:00,11:23:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
68,1985-06-27,OTHER,11:44:00,11:49:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
69,1985-06-27,OTHER,12:15:00,12:20:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
70,1985-06-27,OTHER,16:31:00,16:36:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
71,1985-06-28,OTHER,10:24:00,10:29:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
72,1985-06-28,OTHER,15:22:00,15:27:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
73,1985-06-28,OTHER,16:02:00,16:07:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
74,1985-06-28,OTHER,17:24:00,17:29:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
75,1985-06-29,OTHER,10:00:00,10:05:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
76,1985-06-29,OTHER,10:41:00,10:46:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
77,1985-06-30,OTHER,12:07:00,12:12:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
78,1985-06-30,OTHER,12:15:00,12:20:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
79,1985-06-30,OTHER,12:19:00,12:24:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
80,1985-06-30,OTHER,12:57:00,13:02:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
81,1985-06-30,OTHER,13:19:00,13:24:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
82,1985-06-30,OTHER,14:50:00,14:55:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
83,1985-06-30,OTHER,16:04:00,16:09:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
84,1985-07-02,OTHER,15:32:00,15:37:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
85,1985-07-02,OTHER,16:02:00,16:07:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
86,1985-07-02,OTHER,16:17:00,16:22:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
87,1985-07-02,OTHER,16:54:00,16:59:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
88,1985-07-03,OTHER,11:07:00,11:12:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
89,1985-07-03,OTHER,11:29:00,11:34:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
90,1985-07-03,OTHER,12:26:00,12:31:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
91,1985-07-03,OTHER,13:15:00,13:20:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
92,1985-07-03,OTHER,14:15:00,14:20:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
93,1985-07-05,OTHER,14:41:00,14:46:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
94,1985-07-05,OTHER,15:25:00,15:30:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
95,1985-07-05,OTHER,16:40:00,16:45:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
96,1985-07-05,OTHER,17:16:00,17:21:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
97,1985-07-08,OTHER,13:35:00,13:40:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
98,1985-07-09,OTHER,10:44:00,10:49:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
99,1985-07-09,OTHER,10:53:00,10:58:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
100,1985-07-09,OTHER,12:01:00,12:06:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
101,1985-07-09,OTHER,12:55:00,13:00:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
102,1985-07-09,OTHER,15:50:00,15:55:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
103,1985-07-10,OTHER,12:15:00,12:20:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
104,1985-07-10,OTHER,12:19:00,12:24:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
105,1985-07-11,OTHER,15:25:00,15:30:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
106,1985-07-11,OTHER,15:40:00,15:45:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
107,1985-07-12,OTHER,10:55:00,11:00:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
108,1985-07-12,OTHER,11:03:00,11:08:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
109,1985-07-12,OTHER,13:18:00,13:23:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
110,1985-07-12,OTHER,16:15:00,16:20:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
111,1985-07-12,OTHER,17:35:00,17:40:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
112,1985-07-16,OTHER,14:46:00,14:51:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
113,1985-07-17,OTHER,14:54:00,14:59:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
114,1985-07-17,OTHER,15:01:00,15:06:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
115,1985-07-18,OTHER,11:37:00,11:42:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
116,1985-07-18,OTHER,14:16:00,14:21:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
117,1985-07-18,OTHER,14:40:00,14:45:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
118,1985-07-23,OTHER,13:26:00,13:31:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
119,1985-07-23,OTHER,13:55:00,14:00:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
120,1985-07-23,OTHER,14:04:00,14:09:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
121,1985-07-23,OTHER,14:18:00,14:23:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
122,1985-07-24,OTHER,14:06:00,14:11:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
123,1985-07-24,OTHER,14:11:00,14:16:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
124,1985-07-25,OTHER,16:30:00,16:35:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
125,1985-07-25,OTHER,16:38:00,16:43:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
126,1985-07-25,OTHER,16:58:00,17:03:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
127,1985-07-27,OTHER,15:05:00,15:10:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
128,1985-07-30,OTHER,12:07:00,12:12:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
129,1985-07-30,OTHER,13:01:00,13:06:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
130,1985-07-30,OTHER,13:29:00,13:34:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
131,1985-07-31,OTHER,09:29:00,09:34:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
132,1985-07-31,OTHER,10:57:00,11:02:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
133,1985-07-31,OTHER,12:22:00,12:27:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
134,1985-07-31,OTHER,12:26:00,12:31:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
135,1985-07-31,OTHER,16:00:00,16:05:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
136,1985-08-01,OTHER,12:00:00,12:05:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
137,1985-08-01,OTHER,14:40:00,14:45:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
138,1985-08-02,OTHER,10:26:00,10:31:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
139,1985-08-02,OTHER,12:27:00,12:32:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
140,1985-08-02,OTHER,13:04:00,13:09:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
141,1985-08-02,OTHER,17:30:00,17:35:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
142,1985-08-04,OTHER,11:50:00,11:55:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
143,1985-08-04,OTHER,13:18:00,13:23:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
144,1985-08-08,OTHER,10:50:00,10:55:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
145,1985-08-08,OTHER,13:42:00,13:47:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
146,1985-08-09,OTHER,14:30:00,14:35:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
147,1985-08-09,OTHER,15:45:00,15:50:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
148,1985-08-09,OTHER,17:15:00,17:20:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
149,1985-08-11,OTHER,10:40:00,10:45:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
150,1985-08-11,OTHER,12:30:00,12:35:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
151,1985-08-11,OTHER,14:38:00,14:43:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
152,1985-08-12,OTHER,09:42:00,09:47:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
153,1985-08-12,OTHER,10:32:00,10:37:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
154,1985-08-12,OTHER,13:48:00,13:53:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
155,1985-08-12,OTHER,15:38:00,15:43:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
156,1985-08-14,OTHER,13:46:00,13:51:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
157,1985-08-14,OTHER,13:48:00,13:53:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
158,1985-08-14,OTHER,15:01:00,15:06:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
159,1985-08-14,OTHER,15:20:00,15:25:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
160,1985-08-14,OTHER,15:22:00,15:27:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
161,1985-08-14,OTHER,16:05:00,16:10:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
162,1985-08-14,OTHER,16:06:00,16:11:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
163,1985-08-14,OTHER,16:09:00,16:14:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
164,1985-08-14,OTHER,16:48:00,16:53:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
165,1985-08-15,OTHER,10:13:00,10:18:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
166,1985-08-15,OTHER,10:42:00,10:47:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
167,1985-08-15,OTHER,10:55:00,11:00:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
168,1985-08-15,OTHER,11:02:00,11:07:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
169,1985-08-15,OTHER,12:09:00,12:14:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
170,1985-08-15,OTHER,13:35:00,13:40:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
171,1985-08-15,OTHER,14:05:00,14:10:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
172,1985-08-16,OTHER,14:05:00,14:10:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
173,1985-08-16,OTHER,15:00:00,15:05:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
174,1985-08-16,OTHER,15:11:00,15:16:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
175,1985-08-16,OTHER,15:38:00,15:43:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
176,1985-08-16,OTHER,17:32:00,17:37:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
177,1985-08-17,OTHER,09:13:00,09:18:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
178,1985-08-17,OTHER,10:00:00,10:05:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
179,1985-08-19,OTHER,09:31:00,09:36:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
180,1985-08-19,OTHER,09:40:00,09:45:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
181,1985-08-19,OTHER,10:13:00,10:18:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
182,1985-08-20,OTHER,09:02:00,09:07:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
183,1985-08-20,OTHER,10:48:00,10:53:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
184,1985-08-20,OTHER,16:30:00,16:35:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
185,1985-08-22,OTHER,08:00:00,08:05:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
186,1985-08-22,OTHER,08:02:00,08:07:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
187,1985-08-22,OTHER,08:11:00,08:16:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
188,1985-08-22,OTHER,09:38:00,09:43:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
189,1985-08-22,OTHER,09:40:00,09:45:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
190,1985-08-22,OTHER,10:50:00,10:55:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
191,1985-08-22,OTHER,14:48:00,14:53:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
